brand,model,averageSellingPrice,fuelType,transmission,about
Audi,Golf 2019,44710,Electric,Automatic,"The Audi Golf 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Elantra 2019,43964,Petrol,Automatic,"The Volkswagen Elantra 2019 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Civic 2021,57922,Petrol,Automatic,"The Volkswagen Civic 2021 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,A4 2021,22472,Electric,Automatic,"The Honda A4 2021 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Elantra 2019,46741,Diesel,Automatic,"The Mercedes Elantra 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Altima 2023,15014,Diesel,Automatic,"The Toyota Altima 2023 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Altima 2019,27325,Diesel,Automatic,"The Tesla Altima 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Mustang 2020,15761,Diesel,Automatic,"The Tesla Mustang 2020 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,C-Class 2019,68825,Petrol,Automatic,"The Ford C-Class 2019 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,X5 2022,42261,Electric,Manual,"The Mercedes X5 2022 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,C-Class 2019,23097,Diesel,Automatic,"The Ford C-Class 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,X5 2020,22961,Diesel,Manual,"The Nissan X5 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Civic 2018,34617,Petrol,Automatic,"The Mercedes Civic 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Altima 2019,53186,Electric,Manual,"The Hyundai Altima 2019 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Elantra 2019,17872,Petrol,Manual,"The Tesla Elantra 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Corolla 2023,34559,Petrol,Automatic,"The BMW Corolla 2023 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Mustang 2019,19289,Petrol,Automatic,"The Tesla Mustang 2019 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Civic 2023,65941,Petrol,Automatic,"The Hyundai Civic 2023 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Model 3 2023,28654,Petrol,Automatic,"The Hyundai Model 3 2023 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Model 3 2023,59695,Electric,Manual,"The Volkswagen Model 3 2023 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Elantra 2021,46376,Diesel,Manual,"The Toyota Elantra 2021 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Mustang 2023,61917,Diesel,Manual,"The Toyota Mustang 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Mustang 2019,58701,Electric,Automatic,"The Honda Mustang 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Civic 2020,38319,Petrol,Manual,"The Volkswagen Civic 2020 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Elantra 2022,47627,Electric,Automatic,"The Toyota Elantra 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Corolla 2023,53517,Diesel,Manual,"The Audi Corolla 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Civic 2023,67255,Petrol,Automatic,"The Hyundai Civic 2023 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,C-Class 2022,47011,Electric,Manual,"The Mercedes C-Class 2022 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Altima 2020,25237,Electric,Automatic,"The Honda Altima 2020 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Corolla 2019,46321,Diesel,Manual,"The Nissan Corolla 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Civic 2020,19430,Petrol,Manual,"The Nissan Civic 2020 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Model 3 2021,43997,Diesel,Automatic,"The Ford Model 3 2021 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Corolla 2018,56204,Electric,Automatic,"The Toyota Corolla 2018 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Civic 2022,42141,Electric,Automatic,"The Mercedes Civic 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Corolla 2018,30118,Petrol,Manual,"The Honda Corolla 2018 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Elantra 2022,57849,Electric,Automatic,"The Ford Elantra 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Civic 2019,40604,Petrol,Automatic,"The Tesla Civic 2019 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,C-Class 2021,19877,Diesel,Automatic,"The Audi C-Class 2021 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Mustang 2022,29543,Diesel,Manual,"The Ford Mustang 2022 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Golf 2019,27365,Diesel,Manual,"The BMW Golf 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Elantra 2021,67357,Petrol,Manual,"The Nissan Elantra 2021 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Civic 2021,67503,Petrol,Automatic,"The Honda Civic 2021 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Elantra 2018,23042,Diesel,Automatic,"The Nissan Elantra 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Corolla 2023,45107,Diesel,Manual,"The Honda Corolla 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Corolla 2021,15932,Electric,Manual,"The Volkswagen Corolla 2021 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Altima 2021,19218,Diesel,Automatic,"The Mercedes Altima 2021 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Altima 2023,48206,Diesel,Manual,"The Volkswagen Altima 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,C-Class 2019,34380,Diesel,Automatic,"The Ford C-Class 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Model 3 2019,35387,Petrol,Manual,"The Toyota Model 3 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Altima 2018,40741,Petrol,Manual,"The Tesla Altima 2018 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Elantra 2020,26024,Electric,Automatic,"The Honda Elantra 2020 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Mustang 2023,32315,Diesel,Manual,"The BMW Mustang 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Golf 2020,54257,Petrol,Automatic,"The Hyundai Golf 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Civic 2020,53042,Petrol,Automatic,"The Mercedes Civic 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Corolla 2020,42351,Electric,Automatic,"The BMW Corolla 2020 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,C-Class 2018,49618,Diesel,Automatic,"The Mercedes C-Class 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Golf 2020,36264,Diesel,Manual,"The Ford Golf 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,A4 2019,53883,Petrol,Manual,"The Nissan A4 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Elantra 2023,39751,Diesel,Automatic,"The Toyota Elantra 2023 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,X5 2023,55453,Petrol,Automatic,"The Volkswagen X5 2023 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Model 3 2020,30239,Petrol,Manual,"The Ford Model 3 2020 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Model 3 2021,62307,Electric,Manual,"The Tesla Model 3 2021 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Altima 2022,47372,Diesel,Manual,"The BMW Altima 2022 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Corolla 2022,46249,Petrol,Manual,"The BMW Corolla 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Golf 2022,62151,Petrol,Manual,"The Nissan Golf 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Mustang 2022,27074,Diesel,Manual,"The Mercedes Mustang 2022 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Elantra 2023,67206,Petrol,Automatic,"The Audi Elantra 2023 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Model 3 2021,27119,Electric,Manual,"The Audi Model 3 2021 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Model 3 2023,17581,Diesel,Manual,"The Tesla Model 3 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Corolla 2020,50766,Electric,Manual,"The Nissan Corolla 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Mustang 2021,62976,Petrol,Automatic,"The Volkswagen Mustang 2021 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,C-Class 2019,42916,Diesel,Manual,"The Ford C-Class 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Model 3 2022,49049,Electric,Automatic,"The Volkswagen Model 3 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,X5 2019,59381,Electric,Manual,"The Ford X5 2019 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Corolla 2021,33087,Electric,Manual,"The Audi Corolla 2021 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Corolla 2018,33583,Diesel,Manual,"The Volkswagen Corolla 2018 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,A4 2020,42749,Diesel,Manual,"The Toyota A4 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,X5 2023,63202,Petrol,Automatic,"The BMW X5 2023 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Golf 2018,65980,Petrol,Automatic,"The Honda Golf 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,A4 2020,59248,Diesel,Automatic,"The BMW A4 2020 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,C-Class 2022,25291,Electric,Manual,"The Hyundai C-Class 2022 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Civic 2020,30536,Electric,Automatic,"The Volkswagen Civic 2020 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,C-Class 2023,40674,Diesel,Automatic,"The Toyota C-Class 2023 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,X5 2020,64571,Electric,Manual,"The Honda X5 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Model 3 2022,30496,Electric,Automatic,"The Honda Model 3 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Elantra 2018,69979,Electric,Automatic,"The Toyota Elantra 2018 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,A4 2018,58527,Electric,Manual,"The Honda A4 2018 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Corolla 2018,69718,Petrol,Automatic,"The Tesla Corolla 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Mustang 2022,53334,Petrol,Automatic,"The Volkswagen Mustang 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Altima 2018,34373,Diesel,Manual,"The Mercedes Altima 2018 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,X5 2022,49283,Diesel,Automatic,"The Toyota X5 2022 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Civic 2020,44338,Diesel,Automatic,"The BMW Civic 2020 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Model 3 2020,64728,Electric,Automatic,"The Toyota Model 3 2020 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Corolla 2020,60918,Electric,Automatic,"The Nissan Corolla 2020 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Elantra 2019,67476,Petrol,Automatic,"The Ford Elantra 2019 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Mustang 2020,46965,Diesel,Automatic,"The Mercedes Mustang 2020 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,A4 2020,53061,Petrol,Automatic,"The BMW A4 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Altima 2018,44479,Electric,Automatic,"The Volkswagen Altima 2018 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Corolla 2019,21926,Diesel,Manual,"The Tesla Corolla 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Civic 2020,54297,Electric,Manual,"The Ford Civic 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,C-Class 2018,35547,Electric,Manual,"The Volkswagen C-Class 2018 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Altima 2019,25469,Electric,Automatic,"The Honda Altima 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Civic 2018,55019,Petrol,Automatic,"The Ford Civic 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Civic 2023,56619,Diesel,Manual,"The Mercedes Civic 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Model 3 2020,60582,Diesel,Manual,"The BMW Model 3 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Civic 2018,38732,Petrol,Automatic,"The Volkswagen Civic 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Corolla 2023,51691,Diesel,Automatic,"The Volkswagen Corolla 2023 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,A4 2018,64654,Diesel,Automatic,"The BMW A4 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Corolla 2022,21959,Electric,Automatic,"The Hyundai Corolla 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Corolla 2019,36539,Petrol,Manual,"The Ford Corolla 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Corolla 2022,42430,Diesel,Automatic,"The Honda Corolla 2022 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Corolla 2020,33801,Electric,Automatic,"The Tesla Corolla 2020 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Altima 2023,34798,Electric,Manual,"The Audi Altima 2023 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,X5 2018,32442,Petrol,Manual,"The Tesla X5 2018 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Golf 2023,20931,Electric,Automatic,"The Toyota Golf 2023 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Altima 2018,64463,Diesel,Automatic,"The Honda Altima 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Model 3 2018,59547,Diesel,Automatic,"The Audi Model 3 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,A4 2022,42892,Petrol,Manual,"The Honda A4 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Model 3 2021,31613,Diesel,Automatic,"The Mercedes Model 3 2021 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Altima 2018,69795,Petrol,Manual,"The Hyundai Altima 2018 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Elantra 2022,15411,Petrol,Automatic,"The Toyota Elantra 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Altima 2020,41160,Petrol,Automatic,"The Nissan Altima 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Golf 2019,18824,Diesel,Manual,"The BMW Golf 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Model 3 2022,24443,Electric,Manual,"The Mercedes Model 3 2022 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,A4 2022,23108,Diesel,Manual,"The BMW A4 2022 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Civic 2019,18951,Electric,Automatic,"The Audi Civic 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Elantra 2022,42258,Diesel,Automatic,"The Audi Elantra 2022 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Corolla 2023,51498,Petrol,Manual,"The Honda Corolla 2023 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Golf 2022,18196,Petrol,Automatic,"The Honda Golf 2022 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Model 3 2019,33176,Diesel,Manual,"The Nissan Model 3 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,C-Class 2019,61216,Diesel,Automatic,"The Audi C-Class 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Model 3 2022,56852,Petrol,Manual,"The Toyota Model 3 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,X5 2018,20310,Petrol,Manual,"The BMW X5 2018 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Altima 2018,43965,Electric,Automatic,"The Mercedes Altima 2018 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Nissan,Model 3 2022,47693,Diesel,Manual,"The Nissan Model 3 2022 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,C-Class 2022,29306,Petrol,Manual,"The Mercedes C-Class 2022 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,Corolla 2020,59557,Electric,Automatic,"The BMW Corolla 2020 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,C-Class 2022,53926,Electric,Manual,"The Tesla C-Class 2022 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
BMW,A4 2019,29715,Electric,Automatic,"The BMW A4 2019 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,C-Class 2019,27011,Petrol,Manual,"The Audi C-Class 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Civic 2022,40609,Diesel,Automatic,"The Tesla Civic 2022 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Corolla 2021,64150,Petrol,Automatic,"The Honda Corolla 2021 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Mustang 2022,36736,Electric,Automatic,"The Audi Mustang 2022 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,C-Class 2019,43823,Petrol,Manual,"The Hyundai C-Class 2019 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Golf 2019,31301,Electric,Manual,"The Volkswagen Golf 2019 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,X5 2018,46010,Electric,Automatic,"The Audi X5 2018 is a Electric car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Model 3 2019,15646,Petrol,Automatic,"The Volkswagen Model 3 2019 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Volkswagen,Golf 2020,61723,Petrol,Automatic,"The Volkswagen Golf 2020 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Golf 2020,53189,Petrol,Manual,"The Tesla Golf 2020 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Ford,Mustang 2022,33360,Diesel,Manual,"The Ford Mustang 2022 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,C-Class 2018,58393,Diesel,Automatic,"The Mercedes C-Class 2018 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,X5 2018,61089,Petrol,Manual,"The Honda X5 2018 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,C-Class 2022,27496,Diesel,Manual,"The Mercedes C-Class 2022 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Altima 2018,62263,Petrol,Manual,"The Hyundai Altima 2018 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,A4 2018,67345,Diesel,Manual,"The Honda A4 2018 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Model 3 2020,22558,Electric,Manual,"The Toyota Model 3 2020 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Golf 2023,35853,Diesel,Automatic,"The Hyundai Golf 2023 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Toyota,Civic 2023,41337,Diesel,Manual,"The Toyota Civic 2023 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Mustang 2019,53685,Diesel,Automatic,"The Honda Mustang 2019 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Hyundai,Mustang 2019,27801,Diesel,Manual,"The Hyundai Mustang 2019 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Mercedes,Civic 2018,49548,Electric,Manual,"The Mercedes Civic 2018 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Audi,Mustang 2018,50965,Petrol,Automatic,"The Audi Mustang 2018 is a Petrol car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Civic 2023,24753,Electric,Manual,"The Honda Civic 2023 is a Electric car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Altima 2020,32176,Diesel,Manual,"The Tesla Altima 2020 is a Diesel car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Tesla,Altima 2023,62451,Petrol,Manual,"The Tesla Altima 2023 is a Petrol car with Manual transmission. It is known for its reliability and performance, making it a popular choice for drivers."
Honda,Golf 2020,52902,Diesel,Automatic,"The Honda Golf 2020 is a Diesel car with Automatic transmission. It is known for its reliability and performance, making it a popular choice for drivers."
